x1; x2; x3; x4; x5; y
-3; 5; -7; -4; -5; -852
-9; 9; -6; -10; -9; -988
-8; -8; -7; 1; 3; 1161
-1; 5; 1; 2; -9; -416
0; 4; 2; 3; -8; -291
2; 7; -10; 0; -9; -1578
-9; 5; 0; -6; -4; 44
-7; -7; -2; 7; 4; 1630
-5; -9; -7; -1; 6; 948
-4; 6; -3; 2; -3; -211
-9; 3; -5; -1; -8; 40
7; -9; 3; -9; 1; -256
-6; -9; -5; 0; -3; 886
3; -3; 1; 2; -8; -164
-1; 1; -6; -2; 6; -184
0; -1; -5; -7; -10; -920
-8; -3; -10; -7; 3; 186
1; 0; 4; -10; 6; -173
-10; 6; -8; 3; -4; 103
-3; -2; 9; -9; -4; 335
0; 3; -2; -1; 9; -44
-5; -2; -5; -8; 6; 157
-7; -3; 7; 3; -6; 1258
-1; -10; 8; -8; -3; 777
-5; -8; 5; 8; -5; 1635
3; -3; -8; -7; 8; -578
-1; 7; -7; 4; 3; -474
5; 8; 4; 5; 7; -311
1; 1; -3; 3; 7; 98
-7; 8; 5; 2; 5; 663
1; 2; -4; 8; -1; -51
3; 1; -9; 3; -10; -1042
-4; -1; 5; 9; 7; 1500
-9; -5; -4; -3; 3; 984
0; 0; 6; 7; 6; 953
-9; -4; -4; -1; 1; 945
1; 3; 6; 3; -9; -124
0; -3; -4; -5; 6; -30
1; -2; 1; -4; 0; -83
2; 0; -1; -10; -2; -837
-3; -3; -5; 6; 4; 724
1; -8; -7; -9; 0; -351
-4; 9; 5; 8; 5; 624
-7; -6; -2; -9; 6; 763
-2; -2; 3; 4; -5; 569
9; 4; 7; -10; 2; -1217
-1; 1; 4; -2; -3; 52
6; 9; 8; -2; 1; -852
-2; 1; 6; -3; -4; 170
2; 2; 8; 0; -9; -195
-4; 2; 4; 5; 7; 1003
-3; 1; 3; -5; 7; 386
7; -6; -5; 9; -2; -65
9; 7; -5; 3; -6; -1700
8; 8; 2; 2; 6; -909
-1; 9; 6; -2; 6; -112
9; -5; 8; -2; 3; -18
8; -1; -4; 5; -10; -984
-6; 2; 6; 4; 5; 1181
-3; 8; 3; -7; 9; -175
-8; -1; 3; -7; 8; 944
8; -8; 9; 0; 8; 647
-8; 1; 9; 2; 5; 1508
0; -7; -2; 3; 5; 778
-10; -6; 8; -3; -5; 1539
-4; 2; -7; 8; 1; 333
-7; 1; 2; 5; 3; 1110
-4; -6; 0; 7; 6; 1451
-7; -8; 6; 8; 0; 2063
-8; 8; -1; 0; 5; 315
8; -4; -4; 6; -6; -561
-1; 6; -6; -7; -3; -1153
-8; 1; -6; 2; -8; 200
