x1; x2; x3; x4; x5; y
4; -10; 1; 0; 4; -387
-8; -1; 8; 9; 2; 183
-8; 9; -2; 7; -5; 305
-8; -10; 9; -9; 5; 491
1; 8; 8; 3; 0; -158
-10; 7; 2; 8; -10; 561
-5; -5; -7; 5; 5; -92
-1; 8; -8; 5; 9; -450
-9; 3; -8; 6; 7; 32
1; -4; 6; -10; 2; 58
3; -4; -5; 5; 1; -414
1; -5; -10; -4; -3; -58
8; -5; 8; -6; 7; -519
5; -10; 1; -6; -3; -140
5; 6; 0; 3; -8; -230
-4; -4; -1; 3; -3; 147
8; 3; 0; 3; 6; -753
-3; -5; 3; 8; -8; 156
-7; -3; -3; -4; -2; 408
-4; -5; 5; 5; 7; -103
1; -8; 4; -4; -8; 190
6; 0; -8; 6; -3; -527
-10; -1; -9; -7; -9; 763
-7; 8; -6; 5; -10; 390
4; 6; 5; 2; 9; -557
9; 0; 4; -5; -5; -324
5; -4; -9; 9; -10; -350
2; -9; 0; 7; -7; -141
0; -1; 1; 7; -1; -195
-9; -5; -5; 4; -8; 502
4; 5; 4; -10; -7; 93
-7; -6; -3; -2; 2; 270
-4; -7; -4; 4; -5; 161
8; -6; 8; 9; -3; -557
-10; 3; 9; -8; 5; 555
-6; 4; 3; 5; -8; 363
6; -3; -5; -8; 2; -347
-7; -7; -7; -5; -10; 612
-10; -9; -1; 4; 7; 207
-4; -3; -3; 0; 2; 59
2; 4; -8; -1; -5; -123
-6; 6; 3; 2; -1; 237
0; 0; 6; -8; 4; 13
-8; -8; 3; -4; -6; 625
3; -10; -10; -10; -9; 118
7; -4; -10; 1; -5; -438
2; -7; -6; -10; 6; -191
3; 1; -1; -5; -6; -10
5; -3; -7; 3; 8; -684
-8; -9; 8; 0; -9; 665
-9; -8; 0; 6; -2; 352
-9; -9; -4; 3; 8; 122
-9; -5; 9; 8; -7; 508
3; 3; -6; 3; -8; -162
-4; 3; -7; -9; 0; 247
6; 4; -6; -3; 4; -521
0; 7; 9; -8; 1; 101
6; 7; -5; -7; 1; -361
-4; -2; -9; -3; -4; 225
0; -1; 7; -8; 1; 101
-7; 5; 3; -1; 3; 250
5; 0; -8; -6; 2; -362
2; 5; 7; -3; -5; 35
-7; -6; -7; 8; 9; -144
4; 8; -10; 3; -2; -415
1; -3; -1; -8; -10; 272
-3; 2; 3; 9; 1; -112
1; -7; -7; 2; -2; -176
3; 4; -3; -7; -7; 34
-6; 0; 8; -9; -3; 561
-5; -7; -5; -5; 9; 24
7; 2; -1; -8; -5; -198
-3; -9; -7; -4; 9; -118
-3; -7; 5; 8; -7; 150
-3; -9; 1; -5; -5; 330
-5; 2; 2; -7; -8; 544
-4; 8; 1; 7; 8; -227
-2; 6; 2; -4; 2; 51
-10; 8; 4; -1; 9; 261
8; -9; 6; -3; 8; -613
9; -1; 6; 7; 1; -702
-7; -1; 0; -10; 5; 366
5; 5; 1; -1; -4; -244
-4; -2; -9; 5; 5; -169
-3; -8; -1; -3; 3; 64
-9; -8; -4; 5; 2; 236
1; 5; -10; 9; 8; -624
6; 4; 4; 2; -10; -177
1; -2; 9; -9; 3; 32
2; 0; -1; -3; 4; -253
-7; -9; -5; 3; 2; 160
-10; -4; 4; -1; 7; 337
3; -7; 2; -8; 9; -300
7; 0; 9; 4; 5; -614
-8; 8; 3; -10; 5; 427
-9; -4; -3; -4; 5; 338
-3; -1; -5; 8; -4; -20
-4; 4; 3; 5; -7; 227
-7; 6; 9; 1; -4; 438
2; 4; -9; -7; -5; -11
-1; -4; 8; 7; 8; -312
-10; 8; -4; 1; -1; 417
-7; 5; 3; -10; 6; 352
5; -10; 3; -8; -4; -58
8; -7; -9; -5; -8; -281
5; -2; -6; -7; 8; -478
-3; 0; 3; -7; -10; 498
-7; 4; 0; 7; -9; 380
-2; -10; 3; -9; -3; 321
-10; -1; -7; 7; 7; 83
-5; 6; -9; 3; -7; 222
-3; -2; -8; 1; 8; -214
7; -3; 5; -4; -10; -90
-5; -5; 8; -5; 0; 358
-7; -10; -8; 8; 9; -144
3; 8; -10; -3; 8; -500
-10; 5; -4; 9; 1; 211
-4; -6; -4; 1; -5; 219
8; -3; -2; -9; -5; -231
8; 3; -1; -1; 4; -629
5; 8; 7; 3; 9; -620
6; 3; 6; -8; 8; -427
9; -1; -2; -2; 0; -560
-9; -2; 0; -10; -7; 790
-1; -10; -8; 8; 9; -474
-6; -5; -8; -10; -3; 463
9; -4; -1; 2; 4; -730
-2; -9; 0; -9; -1; 243
2; -6; -9; 4; -3; -263
0; 3; 6; -2; -1; 17
-10; 7; 6; 0; -8; 701
-3; -10; -2; 4; 6; -158
2; -3; -2; -8; -5; 79
-1; 5; 1; 9; -7; -36
