x1; x2; x3; x4; x5; y
6; 6; 8; -5; 3; -40
-8; 7; 8; -6; 6; -804
-10; -7; -5; 8; -1; -234
-8; -6; 4; -5; -7; -2108
0; 8; -1; 4; -2; 678
-6; -3; -6; 1; 5; 64
7; 4; -9; 5; -7; 1104
-5; -3; 2; -8; -6; -1834
1; 5; 6; -8; -3; -982
-8; 1; 2; 5; -9; -788
4; -8; -2; -10; 7; -676
-1; 7; 8; -10; -10; -1734
-7; -3; 8; -5; -7; -2078
1; 4; 9; 1; 1; -120
-7; 3; -9; 1; 2; 328
4; -8; 2; 3; 4; 112
-7; -4; -5; -6; -10; -1720
0; -6; 4; 0; -8; -1184
6; -2; -3; 3; -2; 490
3; -7; 7; 1; 4; -348
-5; -4; -3; -9; -3; -1524
3; -7; -1; 8; -6; 88
7; 0; -1; 6; 4; 1228
1; 1; -6; -7; 8; 222
9; 2; -9; -10; -10; -456
7; -3; -8; 3; 9; 1470
0; 5; -8; 7; -9; 704
-7; 2; -6; 9; 5; 1034
8; -8; 8; 0; 2; -352
-10; -1; 2; 6; 8; 140
6; -5; -3; -8; -4; -830
-10; -1; -10; 1; 6; 200
-6; 6; -10; 0; 4; 664
6; 9; 6; -1; 6; 808
9; 8; 0; -7; -6; -50
-10; -9; -10; 8; 9; 556
-6; -1; -10; 5; 8; 960
-8; 5; -3; 9; 7; 1114
-6; 5; -1; -2; 5; -2
1; 6; -10; -10; -10; -690
-9; -1; 5; -9; 1; -1784
9; 8; 0; -10; 5; 378
-4; 1; 5; -10; -7; -1938
5; 7; 9; -10; -3; -944
-5; 7; 5; 8; 1; 524
2; -6; -1; -1; -5; -682
-2; -3; 7; 2; 5; -282
-7; 3; -6; 0; -6; -438
2; 7; -7; 4; 2; 1330
-3; 4; -8; -2; -9; -382
-1; 8; -10; -8; -4; -134
4; -3; -7; -6; 8; 326
-10; 3; -7; 7; -10; -194
6; -3; -9; 9; -2; 1306
-3; 6; -5; -7; 4; -52
4; 5; -7; 1; 6; 1322
-8; -5; 8; -1; -3; -1640
8; -7; 9; -10; -1; -1458
3; -2; 4; -4; -9; -1178
-8; 5; 8; 6; -3; -396
4; 0; -9; -9; -2; -302
2; 6; -10; 0; -7; 488
-10; 7; -2; 8; 6; 892
-10; 2; -1; 2; -1; -462
-7; 9; 6; -10; -3; -1454
